        Time / ns                i1 (8)/real
               46.092663                   3.2367746e-09
               46.156502                   4.1960484e-09
               46.220341                   5.1548863e-09
               46.284184                   6.1113461e-09
               46.348022                   7.0551436e-09
               46.411861                   7.9838598e-09
               46.475704                   8.8875654e-09
               46.539543                   9.7622035e-09
               46.603382                   1.0600062e-08
               46.667225                   1.1391424e-08
               46.731064                   1.2135264e-08
               46.794903                   1.2818445e-08
               46.858746                   1.3438233e-08
               46.922585                   1.3982877e-08
               46.986423                    1.444824e-08
               47.050266                   1.4828116e-08
               47.114105                   1.5115571e-08
               47.177944                   1.5304039e-08
               47.241787                   1.5389194e-08
               47.305626                   1.5362724e-08
               47.369465                   1.5224668e-08
               47.433308                   1.4968743e-08
               47.497147                   1.4592238e-08
               47.560986                   1.4091234e-08
               47.624828                   1.3468731e-08
               47.688667                   1.2721611e-08
               47.752506                   1.1851845e-08
               47.816349                    1.086091e-08
               47.880188                   9.7531698e-09
               47.944031                   8.5309741e-09
                48.00787                   7.2006014e-09
               48.071709                   5.7695853e-09
               48.135551                   4.2441402e-09
                48.19939                   2.6346672e-09
               48.263229                   9.5094876e-10
               48.327072                  -7.9571544e-10
               48.390911                  -2.5929465e-09
                48.45475                  -4.4281219e-09
               48.518593                  -6.2849899e-09
               48.582432                   -8.149927e-09
               48.646271                  -1.0007364e-08
               48.710114                  -1.1838496e-08
               48.773952                  -1.3631706e-08
               48.837791                  -1.5364705e-08
               48.901634                  -1.7024337e-08
               48.965473                  -1.8589384e-08
               49.029312                  -2.0046611e-08
               49.093155                  -2.1376954e-08
               49.156994                  -2.2566276e-08
               49.220833                   -2.359773e-08
               49.284676                   -2.445708e-08
               49.348515                  -2.5130074e-08
               49.412354                  -2.5606408e-08
               49.476196                  -2.5875142e-08
               49.540035                  -2.5925983e-08
               49.603874                  -2.5750058e-08
               49.667717                  -2.5343617e-08
               49.731556                  -2.4701656e-08
               49.795395                  -2.3823238e-08
               49.859238                  -2.2707171e-08
               49.923077                  -2.1356009e-08
               49.986916                  -1.9774381e-08
               50.050758                   -1.796745e-08
               50.114597                  -1.5945256e-08
               50.178436                  -1.3718811e-08
               50.242279                  -1.1301506e-08
