Time (ns)	Input signal	Output signal
75.6	-3.02E-63	-44.87375015
75.7	-2.10E-63	-42.22613685
75.8	-1.43E-63	-39.34109915
75.9	-9.51E-64	-36.21545736
76	-6.23E-64	-32.91821458
76.1	-4.02E-64	-29.41830535
76.2	-2.56E-64	-25.79908543
76.3	-1.61E-64	-22.05590113
76.4	-1.01E-64	-18.20653459
76.5	-6.20E-65	-14.35387245
76.6	-3.79E-65	-10.41877268
76.7	-2.29E-65	-6.521999454
76.8	-1.37E-65	-2.643070037
76.9	-8.13E-66	1.190721901
77	-4.77E-66	4.91803522
77.1	-2.77E-66	8.60186175
77.2	-1.59E-66	12.14758907
77.3	-9.01E-67	15.58452804
77.4	-5.03E-67	18.89631035
77.5	-2.77E-67	22.06648826
77.6	-1.49E-67	25.11516704
77.7	-7.89E-68	28.02154982
77.8	-4.05E-68	30.80349588
77.9	-1.99E-68	33.45728895
78	-9.25E-69	35.99094248
78.1	-3.89E-69	38.41352284
78.2	-1.33E-69	40.74223883
78.3	-1.99E-70	42.96366472
78.4	2.38E-70	45.09516729
78.5	3.51E-70	47.15910761
78.6	3.31E-70	49.13062889
78.7	2.68E-70	51.02853233
78.8	2.00E-70	52.86087388
