Time (ns)	Input signal	Output signal
69.5	-1.38E-50	84.09105409
69.6	-9.26E-51	86.21722789
69.7	-6.13E-51	87.61110121
69.8	-4.02E-51	88.30564883
69.9	-2.60E-51	88.24481915
70	-1.67E-51	87.46200642
70.1	-1.06E-51	85.91988121
70.2	-6.70E-52	83.65470974
70.3	-4.18E-52	80.67580301
70.4	-2.58E-52	76.97603149
70.5	-1.57E-52	72.65676029
70.6	-9.48E-53	67.62012667
70.7	-5.64E-53	62.02452304
70.8	-3.30E-53	55.85481624
70.9	-1.90E-53	49.13708421
71	-1.07E-53	42.00225692
71.1	-5.87E-54	34.35133615
71.2	-3.11E-54	26.38259538
71.3	-1.56E-54	18.07103759
71.4	-7.25E-55	9.469644011
71.5	-2.88E-55	0.721836595
71.6	-7.28E-56	-8.29711799
71.7	2.31E-56	-17.3508279
71.8	5.78E-56	-26.4725983
71.9	6.32E-56	-35.59470808
72	5.63E-56	-44.62067987
72.1	4.54E-56	-53.57993169
72.2	3.46E-56	-62.31792165
72.3	2.53E-56	-70.87062093
72.4	1.79E-56	-79.13732855
72.5	1.25E-56	-87.05428684
72.6	8.49E-57	-94.62416742
72.7	5.69E-57	-101.7299458
72.8	3.76E-57	-108.3930284
72.9	2.46E-57	-114.5332289
73	1.59E-57	-120.0964112
73.1	1.01E-57	-125.0763576
73.2	6.41E-58	-129.3924253
73.3	4.02E-58	-133.0520289
73.4	2.49E-58	-136.003901
73.5	1.53E-58	-138.2105655
73.6	9.30E-59	-139.6634386
73.7	5.59E-59	-140.3258502
73.8	3.33E-59	-140.1947278
73.9	1.96E-59	-139.2504257
74	1.14E-59	-137.4889863
74.1	6.51E-60	-134.9016949
74.2	3.66E-60	-131.5031135
74.3	2.02E-60	-127.2933452
74.4	1.09E-60	-122.2769206
74.5	5.67E-61	-116.5029842
74.6	2.83E-61	-109.9578706
74.7	1.31E-61	-102.7160726
74.8	5.41E-62	-94.79065569
74.9	1.66E-62	-86.20388889
75	-1.13E-65	-77.07386622
75.1	-6.25E-63	-67.34858944
75.2	-7.62E-63	-57.20278418
75.3	-6.93E-63	-46.62346794
75.4	-5.58E-63	-35.67562157
75.5	-4.20E-63	-24.52410359
75.6	-3.02E-63	-13.07689212
75.7	-2.10E-63	-1.57263557
75.8	-1.43E-63	9.992971891
75.9	-9.51E-64	21.54439792
76	-6.23E-64	32.9180127
76.1	-4.02E-64	44.18642874
76.2	-2.56E-64	55.11849718
76.3	-1.61E-64	65.71598611
76.4	-1.01E-64	75.90568454
76.5	-6.20E-65	85.54702002
76.6	-3.79E-65	94.70275546
76.7	-2.29E-65	103.1800725
76.8	-1.37E-65	110.9892773
76.9	-8.13E-66	118.070694
77	-4.77E-66	124.3368939
77.1	-2.77E-66	129.8322194
77.2	-1.59E-66	134.4451269
77.3	-9.01E-67	138.1899957
77.4	-5.03E-67	141.0382247
77.5	-2.77E-67	142.9806274
77.6	-1.49E-67	144.0160514
77.7	-7.89E-68	144.1537523
77.8	-4.05E-68	143.4001839
77.9	-1.99E-68	141.7720532
78	-9.25E-69	139.3227721
78.1	-3.89E-69	136.0345514
78.2	-1.33E-69	132.0040914
78.3	-1.99E-70	127.2348621
78.4	2.38E-70	121.7865742
78.5	3.51E-70	115.7516639
78.6	3.31E-70	109.1155768
78.7	2.68E-70	102.0196072
